"Video_id","Video_title","Published_at","Duration","Video_type","View_count","Like_count","Comment_count"
x7yv72s8h0o,Would You Go On Vacation With A Stranger?,2025-04-29 16:00:00.000,00:01:03,Normal,481843555,10540627,32721
aRcUVhVlSHg,"Men Vs Women Survive In The Wilderness For $500,000",2024-09-07 16:00:00.000,00:31:48,Normal,240036200,4480485,55165
PuQ5UxKUY48,"Find The Human, Win $10,000",2025-02-24 17:00:02.000,00:00:41,Short,414966855,8111797,10210
L5ihmu87xTE,"Find This Stranger, Win $10,000",2025-02-19 18:00:00.000,00:01:01,Normal,831767257,18423776,17112
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14 18:15:00.000,00:00:25,Short,611944421,8580001,11972
TN1wErFGTzM,"Find This Key, Win $10,000",2025-05-05 16:00:00.000,00:00:39,Short,63044253,1850144,8913
SM66GDRyIVY,"I Helped 2,000 People Walk Again",2025-01-11 17:00:02.000,00:15:31,Normal,149042252,3031441,56287
gs8qfL9PNac,"2,000 People Fight For $5,000,000",2024-12-19 17:00:00.000,00:24:45,Normal,203504992,4668258,51814
DBPYB8WkkDc,Bring Me Back Snow From The North Pole,2024-12-10 17:00:00.000,00:00:55,Short,780892474,19480782,17789
"4SNThp0YiU4","50 YouTubers Fight For $1,000,000",2024-07-13 16:00:01.000,00:41:27,Normal,479608475,9771858,350998
XhuisK0bTSA,Pass The Phone To…,2024-07-11 17:00:01.000,00:01:00,Normal,290951537,11485318,52596
lkCRPp7cnP8,How Many Balloons Does It Take To Fly?,2024-07-10 17:00:00.000,00:00:18,Short,550054967,20404571,51385
KkCXLABwHP0,I Built 100 Houses And Gave Them Away!,2024-06-29 16:00:00.000,00:09:36,Normal,270697429,8018691,293453
Y4-gFIfGXiQ,Would you go on a Blind Date in Italy?,2023-04-15 20:00:01.000,00:00:51,Short,606025148,24530167,30116
mKdjycj-7eE,"Stop This Train, Win a Lamborghini",2024-03-16 16:00:00.000,00:19:01,Normal,272611786,5496034,127218
AjwAdtlRKf8,"Buy Feastables, Win $10,000",2024-02-17 19:00:01.000,00:00:41,Short,481342893,16553495,38087
l-nMKJ5J3Uc,"Ages 1 - 100 Decide Who Wins $250,000",2024-04-20 15:59:59.000,00:40:02,Normal,330554348,6343314,219636
CP82DAKzL1U,I Traded My Car At a Red Light,2023-07-15 17:00:01.000,00:00:47,Short,771578477,27779263,44517
